2026-08-17 18:05:39.768 | WARNING  | api_quotex.config:_load_config:105 - config.json not found, using default configuration
2026-08-17 18:05:39.768 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-08-17 18:05:39.768 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-08-17 18:06:34.225 | WARNING  | api_quotex.config:_load_config:105 - config.json not found, using default configuration
2026-08-17 18:06:34.225 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-08-17 18:06:34.226 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-08-17 18:32:32.959 | WARNING  | api_quotex.config:_load_config:105 - config.json not found, using default configuration
2026-08-17 18:32:32.959 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-08-17 18:32:32.959 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-08-17 18:38:39.009 | WARNING  | api_quotex.config:_load_config:105 - config.json not found, using default configuration
2026-08-17 18:38:39.010 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-08-17 18:38:39.010 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-08-17 18:39:08.043 | WARNING  | api_quotex.config:_load_config:105 - config.json not found, using default configuration
2026-08-17 18:39:08.043 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-08-17 18:39:08.043 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-08-17 18:39:08.208 | INFO     | api_quotex.client:__init__:151 - Initialized Quotex client (demo=True, persistent=False) with enhanced monitoring
2026-08-17 18:39:08.208 | INFO     | api_quotex.client:connect:181 - Connecting to Quotex...
2026-08-17 18:39:08.208 | INFO     | api_quotex.client:_start_regular_connection:206 - Starting regular connection...
2026-08-17 18:39:08.208 | INFO     | api_quotex.client:_start_regular_connection:212 - Demo mode: Using demo regions: ['DEMO', 'LIVE']
2026-08-17 18:39:08.216 | INFO     | api_quotex.client:_start_regular_connection:235 - Trying region: DEMO with URL: wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-08-17 18:39:08.216 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-08-17 18:39:09.862 | INFO     | api_quotex.websocket_client:connect:187 - Connected to LIVE region successfully
2026-08-17 18:39:09.862 | ERROR    | api_quotex.websocket_client:_send_handshake:506 - Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-08-17 18:39:09.862 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] connection: Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-08-17 18:39:09.862 | WARNING  | api_quotex.websocket_client:connect:197 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-08-17 18:39:09.863 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-08-17 18:39:10.620 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-08-17 18:39:10.620 | WARNING  | api_quotex.client:_start_regular_connection:265 - Failed to connect to region DEMO: Failed to connect to any WebSocket endpoint
2026-08-17 18:39:10.620 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to DEMO: Failed to connect to any WebSocket endpoint
2026-08-17 18:39:10.620 | INFO     | api_quotex.client:_start_regular_connection:279 - Waiting 1.80 seconds before next reconnect attempt
2026-08-17 18:39:12.423 | INFO     | api_quotex.client:_start_regular_connection:235 - Trying region: LIVE with URL: wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-08-17 18:39:12.423 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-08-17 18:39:14.085 | INFO     | api_quotex.websocket_client:connect:187 - Connected to LIVE region successfully
2026-08-17 18:39:14.086 | ERROR    | api_quotex.websocket_client:_send_handshake:506 - Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-08-17 18:39:14.086 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] connection: Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-08-17 18:39:14.086 | WARNING  | api_quotex.websocket_client:connect:197 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-08-17 18:39:14.086 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-08-17 18:39:14.848 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-08-17 18:39:14.848 | WARNING  | api_quotex.client:_start_regular_connection:265 - Failed to connect to region LIVE: Failed to connect to any WebSocket endpoint
2026-08-17 18:39:14.848 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to LIVE: Failed to connect to any WebSocket endpoint
2026-08-17 18:39:14.848 | INFO     | api_quotex.client:_start_regular_connection:279 - Waiting 3.24 seconds before next reconnect attempt
2026-08-17 18:39:18.095 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any region after 2 attempts (Code: None)
2026-08-17 18:39:18.096 | ERROR    | api_quotex.client:connect:195 - Connection failed: Failed to connect to any region after 2 attempts
2026-08-17 18:39:18.096 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Connection failed: Failed to connect to any region after 2 attempts
2026-08-17 18:39:18.096 | INFO     | api_quotex.client:disconnect:315 - Disconnecting from Quotex...
2026-08-17 18:39:18.097 | INFO     | api_quotex.websocket_client:disconnect:217 - Disconnecting from WebSocket
2026-08-17 18:39:18.097 | INFO     | api_quotex.client:disconnect:351 - Disconnected successfully
2026-08-17 18:39:38.850 | WARNING  | api_quotex.config:_load_config:105 - config.json not found, using default configuration
2026-08-17 18:39:38.850 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-08-17 18:39:38.850 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-08-17 18:39:39.032 | INFO     | api_quotex.client:__init__:151 - Initialized Quotex client (demo=True, persistent=False) with enhanced monitoring
